Processes,Total,Grow,Cluster,Optimize,Prune
1,1023,842,1,177,3
2,1474,1232,2,238,2
3,1218,974,2,240,2
4,1080,865,2,211,2
5,1131,859,2,268,3
6,910,727,2,180,2
7,1063,817,3,241,2
8,1065,824,2,237,2
9,1241,1035,3,201,2
10,1113,922,2,187,2
11,1230,1015,2,211,2
12,1588,1308,3,274,3
13,1423,1190,2,228,2
14,1623,1406,2,212,2
15,1804,1537,2,263,3
16,2062,1854,2,203,3
17,2070,1837,2,229,2
18,2381,2160,3,217,2
19,2305,2088,2,213,3
20,2324,2159,2,161,2
21,2272,2044,2,225,2
22,2583,2395,2,184,3
23,2646,2388,2,254,3
24,2738,2507,2,227,2
25,2819,2609,2,206,2
26,2796,2580,2,212,2
27,3249,3047,2,198,2
28,3310,3042,2,263,3
29,3752,3529,2,219,2
30,3955,3674,2,276,2
31,3966,3780,2,182,2
32,3951,3727,2,220,2
33,3334,3171,2,160,2
34,3831,3618,3,208,2
35,4749,4516,2,228,3
36,4564,4368,3,191,2
