Processes,Grow,Cluster,Optimize,Prune
1,82%,0%,17%,0%
2,84%,0%,16%,0%
3,80%,0%,20%,0%
4,80%,0%,20%,0%
5,76%,0%,24%,0%
6,80%,0%,20%,0%
7,77%,0%,23%,0%
8,77%,0%,22%,0%
9,83%,0%,16%,0%
10,83%,0%,17%,0%
11,83%,0%,17%,0%
12,82%,0%,17%,0%
13,84%,0%,16%,0%
14,87%,0%,13%,0%
15,85%,0%,15%,0%
16,90%,0%,10%,0%
17,89%,0%,11%,0%
18,91%,0%,9%,0%
19,91%,0%,9%,0%
20,93%,0%,7%,0%
21,90%,0%,10%,0%
22,93%,0%,7%,0%
23,90%,0%,10%,0%
24,92%,0%,8%,0%
25,93%,0%,7%,0%
26,92%,0%,8%,0%
27,94%,0%,6%,0%
28,92%,0%,8%,0%
29,94%,0%,6%,0%
30,93%,0%,7%,0%
31,95%,0%,5%,0%
32,94%,0%,6%,0%
33,95%,0%,5%,0%
34,94%,0%,5%,0%
35,95%,0%,5%,0%
36,96%,0%,4%,0%
