Processes,Total,Grow,Cluster,Optimize,Prune
1,1047,867,1,176,3
2,1446,1188,2,253,3
3,1214,952,2,257,3
4,1113,863,2,245,3
5,1101,855,2,240,3
6,1038,810,2,223,3
7,1079,820,3,255,3
8,1042,823,2,213,3
9,1122,875,2,243,3
10,1202,973,2,224,3
11,1328,1084,2,239,3
12,1483,1227,2,251,4
13,1527,1283,2,239,3
14,1650,1430,1,216,3
15,1766,1525,2,236,3
16,1825,1605,2,216,3
17,1833,1603,2,225,3
18,2046,1810,2,231,3
19,2156,1925,2,226,3
20,2196,1962,2,229,3
21,2228,2009,2,214,3
22,2421,2169,2,247,3
23,2361,2103,2,253,3
24,2471,2225,2,241,3
25,2660,2428,2,226,4
26,2722,2488,2,229,3
27,2852,2623,2,223,3
28,2947,2717,2,224,3
29,3050,2828,2,216,3
30,3003,2774,2,224,3
31,3114,2883,2,226,3
32,3072,2828,2,239,3
33,3250,3003,2,241,3
34,3334,3131,2,199,3
35,3806,3538,2,263,3
36,3687,3442,2,240,3
