Processes,Search,Predict,Create,Add
2,0%,2%,97%,0%
3,0%,3%,97%,0%
4,0%,3%,97%,0%
5,0%,3%,97%,0%
6,0%,3%,97%,0%
7,0%,4%,96%,0%
8,0%,3%,96%,0%
9,0%,3%,97%,0%
10,0%,3%,97%,0%
11,0%,2%,98%,0%
12,0%,2%,98%,0%
13,0%,2%,98%,0%
14,0%,2%,98%,0%
15,0%,2%,98%,0%
16,0%,1%,98%,0%
17,0%,2%,98%,0%
18,0%,1%,99%,0%
19,0%,1%,99%,0%
20,0%,1%,99%,0%
21,0%,1%,99%,0%
22,0%,1%,99%,0%
23,0%,1%,99%,0%
24,0%,1%,99%,0%
25,0%,1%,99%,0%
26,0%,1%,99%,0%
27,0%,1%,99%,0%
28,0%,1%,99%,0%
29,0%,1%,99%,0%
30,0%,1%,99%,0%
31,0%,1%,99%,0%
32,0%,1%,99%,0%
33,0%,1%,99%,0%
34,0%,1%,99%,0%
35,0%,1%,99%,0%
36,0%,1%,99%,0%
