Processes,Grow,Cluster,Optimize,Prune
1,83%,0%,17%,0%
2,82%,0%,17%,0%
3,78%,0%,21%,0%
4,78%,0%,22%,0%
5,78%,0%,22%,0%
6,78%,0%,22%,0%
7,76%,0%,24%,0%
8,79%,0%,20%,0%
9,78%,0%,22%,0%
10,81%,0%,19%,0%
11,82%,0%,18%,0%
12,83%,0%,17%,0%
13,84%,0%,16%,0%
14,87%,0%,13%,0%
15,86%,0%,13%,0%
16,88%,0%,12%,0%
17,87%,0%,12%,0%
18,88%,0%,11%,0%
19,89%,0%,10%,0%
20,89%,0%,10%,0%
21,90%,0%,10%,0%
22,90%,0%,10%,0%
23,89%,0%,11%,0%
24,90%,0%,10%,0%
25,91%,0%,9%,0%
26,91%,0%,8%,0%
27,92%,0%,8%,0%
28,92%,0%,8%,0%
29,93%,0%,7%,0%
30,92%,0%,7%,0%
31,93%,0%,7%,0%
32,92%,0%,8%,0%
33,92%,0%,7%,0%
34,94%,0%,6%,0%
35,93%,0%,7%,0%
36,93%,0%,7%,0%
